rack_type,rack_spaces,Comments,Latitude,Longitude,x,y
Coat Hanger Rack,112,,38.53693012,-121.75426929,6631958.819869012,1957453.5194657594
Low Rack,6,,38.53598709,-121.75130485,6632807.700061008,1957112.393179506
Lightning Bolt Rack,42,,38.53604359,-121.75242442,6632487.401160926,1957132.0962240845
Lightning Bolt Rack,70,,38.53601424,-121.75293275,6632342.027435929,1957121.0106163323
Lightning Bolt Rack,42,,38.53582098,-121.75323812,6632254.870786086,1957050.3929754198
Lightning Bolt Rack,16,,38.535528,-121.75365763,6632135.161707923,1956943.3692393452
Coat Hanger Rack,28,,38.53552605,-121.75372196,6632116.763450757,1956942.611694917
Coat Hanger Rack,40,,38.53590809,-121.75380548,6632092.49512659,1957081.6767055094
Coat Hanger Rack,24,,38.53567595,-121.75414072,6631996.831604004,1956996.8763501793
Lightning Bolt Rack,16,,38.53523783,-121.75373443,6632113.480977014,1956837.6378235072
Coat Hanger Rack,66,,38.53509905,-121.7537218,6632117.231297597,1956787.1074127555
Coat Hanger Rack,130,,38.53523122,-121.75393594,6632055.844937429,1956835.071883753
Coat Hanger Rack,112,,38.53476015,-121.75387706,6632073.15198943,1956663.5673055053
Coat Hanger Rack,112,,38.53480922,-121.75524983,6631680.4300058335,1956680.3740304261
Lightning Bolt Rack,5,,38.53484672,-121.75514445,6631710.536244839,1956694.1148165911
Lightning Bolt Rack,5,,38.5347171,-121.75514838,6631709.538871512,1956646.905593425
Lightning Bolt Rack,5,,38.53464812,-121.75519511,6631696.240669757,1956621.7494757622
Lightning Bolt Rack,10,,38.53452776,-121.75284046,6632369.898771256,1956579.7374206781
Lightning Bolt Rack,12,,38.53571863,-121.7495333,6633314.706921011,1957016.0180441737
Lightning Bolt Rack,24,,38.53754344,-121.75076679,6632960.054087013,1957679.6059558392
Lightning Bolt Rack,32,,38.53784987,-121.75077041,6632958.713210419,1957791.1972680837
Coat Hanger Rack,14,,38.5378395,-121.75090888,6632919.114536345,1957787.3114490956
Lightning Bolt Rack,32,,38.53785265,-121.75103104,6632884.159881845,1957792.0050092489
Coat Hanger Rack,14,,38.53784587,-121.75109063,6632867.121530086,1957789.4899224192
Lightning Bolt Rack,8,,38.53777147,-121.75122124,6632829.837155834,1957762.2924702615
Lightning Bolt Rack,15,,38.53526118,-121.74892134,6633490.212803587,1956849.9094525129
Lightning Bolt Rack,15,,38.5351649,-121.7488233,6633518.354479596,1956814.9236300886
Lightning Bolt Rack,10,,38.53512689,-121.74894275,6633484.225610837,1956800.9866500944
Lightning Bolt Rack,8,,38.53492401,-121.74885773,6633508.7472153455,1956727.1662596762
Lightning Bolt Rack,24,,38.53504904,-121.74899804,6633468.488109514,1956772.5907095075
Lightning Bolt Rack,8,,38.53494728,-121.74873561,6633543.6575785875,1956735.7407175899
Lightning Bolt Rack,30,,38.53509175,-121.74916203,6633421.535447508,1956788.0155474246
Lightning Bolt Rack,60,,38.53497718,-121.74918097,6633416.232636586,1956746.27711384
Lightning Bolt Rack,40,,38.53497305,-121.74935113,6633367.564426839,1956744.6373533458
Lightning Bolt Rack,5,,38.53397476,-121.74990725,6633209.48961176,1956380.642018333
Lightning Bolt Rack,54,,38.5347574,-121.74955429,6633309.667889088,1956665.9426288456
Lightning Bolt Rack,10,,38.53439364,-121.75008708,6633157.630463511,1956533.047881499
Lightning Bolt Rack,74,,38.53465352,-121.74973352,6633258.50493367,1956627.9689515084
Lightning Bolt Rack,5,,38.53439115,-121.75015927,6633136.982210845,1956532.0862692595
Lightning Bolt Rack,35,,38.53479936,-121.74972938,6633259.541348919,1956681.0853150934
Lightning Bolt Rack,10,,38.5344227,-121.75021288,6633121.614787504,1956543.5337529182
Lightning Bolt Rack,5,,38.5345108,-121.75017678,6633131.85361217,1956575.6462215036
Lightning Bolt Rack,10,,38.53468889,-121.74997162,6633190.360384926,1956640.6651203334
Lightning Bolt Rack,23,,38.53461764,-121.74992477,6633203.8337831795,1956614.754411012
Lightning Bolt Rack,100,,38.53452328,-121.74991057,6633207.990927085,1956580.3998209238
Lightning Bolt Rack,14,,38.53462102,-121.75013277,6633144.332261756,1956615.8187133372
Lightning Bolt Rack,60,,38.53312201,-121.75132897,6632803.655777752,1956068.9740065038
Lightning Bolt Rack,108,,38.53281476,-121.75039975,6633069.771387264,1955957.8078902513
Lightning Bolt Rack,40,,38.53222814,-121.75039369,6633072.089624092,1955744.1797085851
Inverted U,1,Inverted U,38.53273766,-121.75311963,6632291.812969416,1955927.606178999
Lightning Bolt Rack,8,,38.534226,-121.74826138,6633680.036242843,1956473.4410453439
Lightning Bolt Rack,8,,38.53471897,-121.74838044,6633645.482506171,1956652.874741584
Lightning Bolt Rack,8,,38.53481148,-121.74781523,6633807.065516338,1956687.0114843398
Lightning Bolt Rack,8,,38.53433455,-121.74769266,6633842.605799586,1956513.421936512
Lightning Bolt Rack,29,,38.53497212,-121.74767783,6633846.204873756,1956745.6229156703
Lightning Bolt Rack,18,,38.53511262,-121.74781215,6633807.641302586,1956796.684493333
Lightning Bolt Rack,6,,38.53666962,-121.74716435,6633991.362063751,1957364.2250249237
Playground Rack,6,,38.53670085,-121.74719243,6633983.299087763,1957375.5744116753
Playground Rack,9,,38.53547312,-121.74609275,6634299.099637255,1956929.3397398442
Low Rack,6,,38.53673081,-121.7472295,6633972.666563094,1957386.4572639167
Lightning Bolt Rack,15,,38.53644853,-121.74698497,6634042.896081418,1957283.8505137563
Varsity Rack,10,,38.53622537,-121.74674874,6634110.6941741705,1957202.7709515095
Lightning Bolt Rack,10,,38.53617995,-121.74685033,6634081.681436926,1957186.145656675
Lightning Bolt Rack,40,,38.53506431,-121.74696941,6634048.751712754,1956779.759986505
Lightning Bolt Rack,16,,38.53627196,-121.74697081,6634047.127044097,1957219.5593037605
Lightning Bolt Rack,10,,38.5347606,-121.74656948,6634163.456535846,1956669.4760863334
Coat Hanger Rack,12,,38.53618328,-121.74732789,6633945.07606709,1957186.9783321768
Bike Stall,6,Bike rail,38.53606298,-121.74717611,6633988.614365846,1957143.2887870073
Bike Locker,6,,38.53321438,-121.74838073,6633646.91655843,1956104.9339083433
Lightning Bolt Rack,40,,38.53306321,-121.74833624,6633659.7935011685,1956049.919254586
Lightning Bolt Rack,272,,38.53932009,-121.7502306,6633111.645319253,1958327.0436373353
Lightning Bolt Rack,15,,38.53570009,-121.7580356,6630882.705879509,1957002.6785039157
Lightning Bolt Rack,20,,38.53566525,-121.7581111,6630861.143914759,1956989.931482166
Lightning Bolt Rack,12,,38.53573311,-121.75811156,6630860.946080506,1957014.6433750093
Lightning Bolt Rack,118,,38.53926497,-121.75100931,6632888.966302678,1958306.3583112508
Lightning Bolt Rack,25,,38.53582232,-121.75847748,6630756.191696838,1957046.8542685956
Bike Stall,6,Bike rail,38.53936012,-121.75113251,6632853.632055759,1958340.9136883318
Lightning Bolt Rack,58,,38.53577524,-121.75855364,6630734.451582834,1957029.6512190104
Lightning Bolt Rack,12,,38.53574887,-121.75860396,6630720.084157512,1957020.0101621747
Lightning Bolt Rack,8,,38.53568297,-121.75861542,6630716.870581254,1956996.0013519228
Lightning Bolt Rack,48,,38.53554421,-121.75855616,6630733.9555208385,1956945.5145762563
Lightning Bolt Rack,24,,38.53988212,-121.7518946,6632635.134789348,1958530.418558672
Lightning Bolt Rack,13,,38.53556251,-121.75861624,6630716.752799347,1956952.1310328394
Lightning Bolt Rack,29,,38.53549328,-121.75846981,6630758.704487085,1956927.0320016742
Lightning Bolt Rack,42,,38.53995011,-121.75152002,6632742.208394095,1958555.4723143429
Lightning Bolt Rack,16,,38.53573845,-121.75788015,6630927.135908753,1957016.7660741657
Lightning Bolt Rack,40,,38.5400218,-121.75118306,6632838.5156161785,1958581.8420122564
